State,District,Deposit_ID,Latitude,Longitude,Reserves_tonnes,Annual_Production_tonnes,Grade_pct,Host_Rock,Formation,Avg_Temperature_C,Annual_Precip_mm,Rainy_Days,Road_Accessibility,Distance_to_Port_km,Reserve_to_Production_ratio,Production_Gap_tonnes,Topo_Slope_deg,Soil_Type,Year,Year_Index
Telangana,Telangana,,18.1124,79.0193,,6055.0,,"Quartzite, dolomitic sediment and granite-derived weathered mantle",Peninsular gneiss / Cuddapah sediments,27.0,930.0,52.0,Good,510.0,,,15.0,Red and black mixed soil,2023-24,4
Karnataka,Karnataka,Karnataka_Ballari,15.3173,75.7139,,294072.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2022-23,3
Karnataka,Karnataka,Karnataka_Chitradurga,15.3173,75.7139,,2999.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2022-23,3
Karnataka,Karnataka,Karnataka_Davangere,15.3173,75.7139,,37760.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2022-23,3
Karnataka,Karnataka,Karnataka_Tumakuru,15.3173,75.7139,,9900.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2022-23,3
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Madhya_Pradesh,22.9734,78.6569,,855874.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Alirajpur,22.9734,78.6569,,766.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Balaghat,22.9734,78.6569,,705056.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Chhindwara,22.9734,78.6569,,45716.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jabalpur,22.9734,78.6569,,73103.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,22.9734,78.6569,,31233.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3
Maharashtra,Maharashtra,Maharashtra_Bhandara,19.7515,75.7139,,462821.0,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.1,1225.0,68.0,Good,620.0,,,12.0,Deep black and red lateritic soil,2022-23,3
Maharashtra,Maharashtra,Maharashtra_Nagpur,19.7515,75.7139,,288283.0,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.1,1225.0,68.0,Good,620.0,,,12.0,Deep black and red lateritic soil,2022-23,3
Odisha,Odisha,Odisha_Kendujhar,20.9517,85.0985,,534473.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2022-23,3
Odisha,Odisha,Odisha_Raygada,20.9517,85.0985,,76.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2022-23,3
Odisha,Odisha,Odisha_Sundargarh,20.9517,85.0985,,109669.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2022-23,3
Rajasthan,Rajasthan,Rajasthan_Banswara,27.0238,74.2179,,6437.0,,"Dolomite, limestone and metamorphic carbonate rocks",Aravalli fold belt / Delhi Supergroup,28.8,540.0,28.0,Moderate,980.0,,,17.0,Sandy desert and brown loam soil,2022-23,3
Karnataka,Karnataka,Karnataka_Tumakuru,15.3173,75.7139,,8000.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2023-24,4
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Madhya_Pradesh,22.9734,78.6569,,1033424.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Alirajpur,22.9734,78.6569,,560.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Balaghat,22.9734,78.6569,,910303.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Chhindwara,22.9734,78.6569,,41705.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jabalpur,22.9734,78.6569,,47005.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,22.9734,78.6569,,33849.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Katni,22.9734,78.6569,,2.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3
Maharashtra,Maharashtra,Maharashtra_Bhandara,19.7515,75.7139,,745002.0,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.1,1225.0,68.0,Good,620.0,,,12.0,Deep black and red lateritic soil,2023-24,4
Maharashtra,Maharashtra,Maharashtra_Nagpur,19.7515,75.7139,,287990.0,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.1,1225.0,68.0,Good,620.0,,,12.0,Deep black and red lateritic soil,2023-24,4
Odisha,Odisha,Odisha_Kendujhar,20.9517,85.0985,,564839.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2023-24,4
Odisha,Odisha,Odisha_Rayagada,20.9517,85.0985,,122.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2022-23,3
