State,District,Deposit_ID,Latitude,Longitude,Reserves_tonnes,Annual_Production_tonnes,Grade_pct,Host_Rock,Formation,Avg_Temperature_C,Annual_Precip_mm,Rainy_Days,Road_Accessibility,Distance_to_Port_km,Reserve_to_Production_ratio,Production_Gap_tonnes,Topo_Slope_deg,Soil_Type,Year,Year_Index,Elevation_m,Synthetic
Karnataka,Davangere,Karnataka_Davangere,14.473175300054553,75.90536291076666,,39077.65641061479,,Dharwar metabasalts and metasediments,Dharwar Supergroup / Shimoga Belt,26.30003914886089,683.8078004030478,47.61200348341365,Good,330.0,,,11.881361673890117,Black and red loam,2022-23,3,618.5943306508983,True
Madhya Pradesh,Katni,Madhya_Pradesh_Katni,23.900337117289247,80.46464662883133,,1.939620227456836,,"Limestone, dolomite and BIF association",Vindhyan Supergroup / Mahakoshal Group,25.371435838897824,1211.8141786778385,53.26368160150867,Good,800.0,,,11.183234437221905,Alluvial and red loam,2022-23,3,389.30721180076097,True
Madhya Pradesh,Balaghat,Madhya_Pradesh_Balaghat,21.797115795085617,80.18359512533121,,935221.5705139661,,"Gonditic metasediments, quartzites and schists",Sausar Group / Mansar Formation (Bharveli Belt),24.68684554336546,1524.1682978312917,73.28665358937809,Good,680.0,,,14.892954317956512,Deep red lateritic and black loam,2023-24,4,299.54835652213234,True
Odisha,Rayagada,Odisha_Raygada,19.164751263922795,83.38297078918829,,70.84406194160321,,Khondalite and calc-granulite suites,Eastern Ghats Mobile Belt,26.7253785776469,1468.9666112043722,63.89965579793795,Moderate,190.0,,,24.090584906901746,Red sandy loam and laterite,2022-23,3,196.71780409364558,True
Odisha,Kendujhar,Odisha_Kendujhar,21.60953322266666,85.56859307622553,,557984.0901227363,,"Banded iron formation, shale and chert",Iron Ore Group (Barbil / Joda / Jamda-Koira Belt),24.73576254879115,1531.8738033419809,76.06126298518883,Good,240.0,,,22.91590254235601,Red lateritic and ferric soil,2022-23,3,595.041367379569,True
Maharashtra,Nagpur,Maharashtra_Nagpur,21.15549987165085,79.09526293433815,,290082.37658719113,,Gondite and braunite-bearing quartzites,Sausar Group / Mansar Formation (Gumgaon-Ramtek),27.156420085915254,1214.2983631621753,59.552282366239,Good,620.0,,,11.845494320750099,Deep black cotton soil,2023-24,4,293.7341789164995,True
Karnataka,Davangere,Karnataka_Davangere,14.452904665538032,75.86326231992652,,38725.51718595883,,Dharwar metabasalts and metasediments,Dharwar Supergroup / Shimoga Belt,26.856895613948584,685.431834257306,43.29351329888236,Good,330.0,,,14.51747403753392,Black and red loam,2022-23,3,593.1393947905477,True
Madhya Pradesh,Chhindwara,Madhya_Pradesh_Chhindwara,22.050893363178204,78.89570342352562,,38879.69610919514,,"Gondite, dolomitic marble and calc-silicate",Sausar Group / Bichua Formation,23.97104874597627,1229.801754542684,53.70542194052269,Good,720.0,,,18.27091616225639,Black cotton and gravelly loam,2023-24,4,667.0584085895089,True
Madhya Pradesh,Balaghat,Madhya_Pradesh_Balaghat,21.76140309674904,80.13992857686182,,889520.5465443985,,"Gonditic metasediments, quartzites and schists",Sausar Group / Mansar Formation (Bharveli Belt),24.486534164113152,1445.2161753716828,76.25849422405659,Good,680.0,,,14.24227160864337,Deep red lateritic and black loam,2022-23,3,329.55370292481973,True
Karnataka,Davangere,Karnataka_Davangere,14.42492571686287,75.91198888616232,,39096.4483268324,,Dharwar metabasalts and metasediments,Dharwar Supergroup / Shimoga Belt,26.319544442829176,652.1167142339568,48.457395288811185,Good,330.0,,,11.631751043211969,Black and red loam,2022-23,3,613.6600636409262,True
Rajasthan,Banswara,Rajasthan_Banswara,23.53544450039964,74.44418679558505,,6684.461640659285,,"Dolomitic limestone, quartzite and phyllite",Aravalli Supergroup / Ghatol-Tambesra Belt,26.418786467070504,907.8877745063908,41.52365251205067,Moderate,490.0,,,14.86617703548396,Mixed red and black soil,2022-23,3,211.67009171771477,True
Rajasthan,Banswara,Rajasthan_Banswara,23.546103375723657,74.40603767865828,,4929.484490462474,,"Dolomitic limestone, quartzite and phyllite",Aravalli Supergroup / Ghatol-Tambesra Belt,27.02311474293972,952.6094493337986,42.106310695155734,Moderate,490.0,,,15.155429327668466,Mixed red and black soil,2023-24,4,224.7474139250996,True
Madhya Pradesh,Jhabua,Madhya_Pradesh_Jhabua,22.725403541120663,74.64234571812356,,35174.48384918898,,Manganese-bearing quartzites and phyllites,Aravalli Supergroup / Lunavada Group,26.635046293394776,890.8065393744339,42.473885580610464,Moderate,450.0,,,21.57335490247524,Shallow black and skeletal soil,2023-24,4,321.94123837720707,True
Madhya Pradesh,Jhabua,Madhya_Pradesh_Jhabua,22.751039007702,74.60524868817427,,33066.99853655596,,Manganese-bearing quartzites and phyllites,Aravalli Supergroup / Lunavada Group,26.659047118375028,779.3197770783997,41.779138631171044,Moderate,450.0,,,20.92743848155818,Shallow black and skeletal soil,2023-24,4,318.7870019753436,True
Madhya Pradesh,Jabalpur,Madhya_Pradesh_Jabalpur,23.078833662362747,79.97692598941961,,48131.33874929654,,"Dolomite, phyllite and banded iron formation",Mahakoshal Group / Archaean basement,25.653396879235867,1245.4723882721141,64.94298394598631,Good,760.0,,,12.748022621793115,Black clay and red sandy loam,2023-24,4,413.64768632058673,True
Madhya Pradesh,Katni,Madhya_Pradesh_Katni,23.772945543803353,80.43025312054793,,1.9902121336788052,,"Limestone, dolomite and BIF association",Vindhyan Supergroup / Mahakoshal Group,25.914798419299938,1135.0304381018182,59.45470042832837,Good,800.0,,,9.243278217521418,Alluvial and red loam,2022-23,3,387.0721216531566,True
