State,District,Deposit_ID,Latitude,Longitude,Reserves_tonnes,Annual_Production_tonnes,Grade_pct,Host_Rock,Formation,Avg_Temperature_C,Annual_Precip_mm,Rainy_Days,Road_Accessibility,Distance_to_Port_km,Reserve_to_Production_ratio,Production_Gap_tonnes,Topo_Slope_deg,Soil_Type,Year,Year_Index,Synthetic
Telangana,Telangana,,18.1124,79.0193,,6055.0,,"Quartzite, dolomitic sediment and granite-derived weathered mantle",Peninsular gneiss / Cuddapah sediments,27.0,930.0,52.0,Good,510.0,,,15.0,Red and black mixed soil,2023-24,4,False
Karnataka,Karnataka,Karnataka_Ballari,15.3173,75.7139,,294072.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2022-23,3,False
Karnataka,Karnataka,Karnataka_Chitradurga,15.3173,75.7139,,2999.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2022-23,3,False
Karnataka,Karnataka,Karnataka_Davangere,15.3173,75.7139,,37760.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2022-23,3,False
Karnataka,Karnataka,Karnataka_Tumakuru,15.3173,75.7139,,9900.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2022-23,3,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Madhya_Pradesh,22.9734,78.6569,,855874.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Alirajpur,22.9734,78.6569,,766.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Balaghat,22.9734,78.6569,,705056.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Chhindwara,22.9734,78.6569,,45716.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jabalpur,22.9734,78.6569,,73103.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3,False
